Date,Hour_of_Day,Airport_Code,Airport_Name,City,State,Checkpoint,Total_Pax_KCM_PAX
12/22/2024,00:00,ANC,Ted Stevens Anchorage International,Anchorage,AK,South Checkpoint,350
12/22/2024,00:00,ANC,Ted Stevens Anchorage International,Anchorage,AK,F Arrival Checkpoint,12
12/22/2024,00:00,ANC,Ted Stevens Anchorage International,Anchorage,AK,Main Checkpoint,65
12/22/2024,00:00,BQN,Rafael Hernandez,Aguadilla,PR,Rafael Hernandez Air,52
12/22/2024,00:00,BTV,Burlington International,South Burlington,VT,Main Checkpoint,0
12/22/2024,00:00,BTV,Burlington International,South Burlington,VT,South,104
12/22/2024,00:00,BTV,Burlington International,South Burlington,VT,West,0
12/22/2024,00:00,BTV,Burlington International,South Burlington,VT,Blue-1,25
12/22/2024,00:00,BTV,Burlington International,South Burlington,VT,Red 3,15
12/22/2024,00:00,ELP,El Paso International,El Paso,TX,Consolidated Checkpoint,0
12/22/2024,00:00,ELP,El Paso International,El Paso,TX,CKPT-A1,19
12/22/2024,00:00,EWR,Newark Liberty International,Newark,NJ,CKPT-B3,24
12/22/2024,00:00,EWR,Newark Liberty International,Newark,NJ,CKPT-C1,20
12/22/2024,00:00,FAI,Fairbanks International,Fairbanks,AK,ASAA-FAI,194
12/22/2024,00:00,FAT,Fresno Yosemite International,Fresno,CA,FAT 01,162
12/22/2024,00:00,FLL,Fort Lauderdale/Hollywood International,Fort Lauderdale,FL,T3F Checkpoint,10
12/22/2024,00:00,GSN,Francisco C Ada/Saipan International,Saipan,MP,GSN01,220
12/22/2024,00:00,GUM,Guam International,Tamuning,GU,GUM01,129
12/22/2024,00:00,HNL,Daniel K Inouye International,Honolulu,HI,HNL03,25
12/22/2024,00:00,IAD,Washington Dulles International,Dulles,VA,Passenger Screening Area: PreCheck,328
12/22/2024,00:00,IND,Indianapolis International,Indianapolis,IN,Checkpoint A,9
12/22/2024,00:00,JAX,Jacksonville International,Jacksonville,FL,Main Checkpoint,0
12/22/2024,00:00,JAX,Jacksonville International,Jacksonville,FL,Terminal 1,0
12/22/2024,00:00,JAX,Jacksonville International,Jacksonville,FL,Terminal 4 Main,586
12/22/2024,00:00,JFK,John F Kennedy International,Jamaica,NY,Terminal 5,176
12/22/2024,00:00,JFK,John F Kennedy International,Jamaica,NY,Terminal 7,0
12/22/2024,00:00,JFK,John F Kennedy International,Jamaica,NY,Terminal 8,49
12/22/2024,00:00,JFK,John F Kennedy International,Jamaica,NY,Term 1 - AB,23
12/22/2024,00:00,LAS,Harry Reid International,Las Vegas,NV,Term 1 - D,95
12/22/2024,00:00,LAS,Harry Reid International,Las Vegas,NV,Terminal 3 - E Upper,193
12/22/2024,00:00,LAS,Harry Reid International,Las Vegas,NV,Suites,6
12/22/2024,00:00,LAS,Harry Reid International,Las Vegas,NV,TBIT Main Checkpoint,18
