Date,Hour_of_Day,Airport_Code,Airport_Name,City,State,Checkpoint,Total_Pax_KCM_PAX
1/19/2025,00:00,ANC,Ted Stevens Anchorage International,Anchorage,AK,South Checkpoint,325
1/19/2025,00:00,ANC,Ted Stevens Anchorage International,Anchorage,AK,F Arrival Checkpoint,13
1/19/2025,00:00,ANC,Ted Stevens Anchorage International,Anchorage,AK,Main Checkpoint,31
1/19/2025,00:00,BQN,Rafael Hernandez,Aguadilla,PR,Rafael Hernandez Air,68
1/19/2025,00:00,BTV,Burlington International,South Burlington,VT,Main Checkpoint,0
1/19/2025,00:00,DEN,Denver International,Denver,CO,South,9
1/19/2025,00:00,DEN,Denver International,Denver,CO,Blue-2,11
1/19/2025,00:00,DEN,Denver International,Denver,CO,Red 3,21
1/19/2025,00:00,ELP,El Paso International,El Paso,TX,Consolidated Checkpoint,0
1/19/2025,00:00,ELP,El Paso International,El Paso,TX,CKPT-A1,7
1/19/2025,00:00,EWR,Newark Liberty International,Newark,NJ,CKPT-B3,28
1/19/2025,00:00,EWR,Newark Liberty International,Newark,NJ,CKPT-C1,11
1/19/2025,00:00,FAI,Fairbanks International,Fairbanks,AK,ASAA-FAI,136
1/19/2025,00:00,FAT,Fresno Yosemite International,Fresno,CA,FAT 01,89
1/19/2025,00:00,GSN,Francisco C Ada/Saipan International,Saipan,MP,GSN01,65
1/19/2025,00:00,GUM,Guam International,Tamuning,GU,GUM01,154
1/19/2025,00:00,IAD,Washington Dulles International,Dulles,VA,Passenger Screening Area: PreCheck,331
1/19/2025,00:00,IND,Indianapolis International,Indianapolis,IN,Checkpoint A,3
1/19/2025,00:00,JAX,Jacksonville International,Jacksonville,FL,Main Checkpoint,0
1/19/2025,00:00,JAX,Jacksonville International,Jacksonville,FL,Terminal 1,100
1/19/2025,00:00,JAX,Jacksonville International,Jacksonville,FL,Terminal 4 Main,530
1/19/2025,00:00,JFK,John F Kennedy International,Jamaica,NY,Terminal 5,10
1/19/2025,00:00,JFK,John F Kennedy International,Jamaica,NY,Terminal 7,5
1/19/2025,00:00,JFK,John F Kennedy International,Jamaica,NY,Terminal 8,64
