Date,Hour_of_Day,Airport_Code,Airport_Name,City,State,Checkpoint,Total_Pax_KCM_PAX
7/14/2024,00:00,ANC,Ted Stevens Anchorage International,Anchorage,AK,South Checkpoint,189
7/14/2024,00:00,ANC,Ted Stevens Anchorage International,Anchorage,AK,F Arrival Checkpoint,9
7/14/2024,00:00,ANC,Ted Stevens Anchorage International,Anchorage,AK,Main Checkpoint,101
7/14/2024,00:00,BOI,Boise Air Terminal/Gowen Field,Boise,ID,BOI-Ckpt,23
7/14/2024,00:00,BOS,General Edward Lawrence Logan International,East Boston,MA,E3,161
7/14/2024,00:00,BQN,Rafael Hernandez,Aguadilla,PR,Rafael Hernandez Air,100
7/14/2024,00:00,BTV,Burlington International,South Burlington,VT,Main Checkpoint,0
7/14/2024,00:00,CLT,Charlotte/Douglas International,Charlotte,NC,Checkpoint 1,0
7/14/2024,00:00,CLT,Charlotte/Douglas International,Charlotte,NC,South,125
7/14/2024,00:00,CLT,Charlotte/Douglas International,Charlotte,NC,West,0
7/14/2024,00:00,CLT,Charlotte/Douglas International,Charlotte,NC,Blue-2,25
7/14/2024,00:00,CLT,Charlotte/Douglas International,Charlotte,NC,Red 3,35
7/14/2024,00:00,ELP,El Paso International,El Paso,TX,Consolidated Checkpoint,0
7/14/2024,00:00,ELP,El Paso International,El Paso,TX,CKPT-A1,16
7/14/2024,00:00,EWR,Newark Liberty International,Newark,NJ,CKPT-B3,1
7/14/2024,00:00,EWR,Newark Liberty International,Newark,NJ,CKPT-C1,14
7/14/2024,00:00,FAI,Fairbanks International,Fairbanks,AK,ASAA-FAI,76
7/14/2024,00:00,FAT,Fresno Yosemite International,Fresno,CA,FAT 01,129
7/14/2024,00:00,FLL,Fort Lauderdale/Hollywood International,Fort Lauderdale,FL,T1 Checkpoint,9
7/14/2024,00:00,GSN,Francisco C Ada/Saipan International,Saipan,MP,GSN01,82
7/14/2024,00:00,GUM,Guam International,Tamuning,GU,GUM01,207
7/14/2024,00:00,IAD,Washington Dulles International,Dulles,VA,Passenger Screening Area: PreCheck,357
7/14/2024,00:00,IND,Indianapolis International,Indianapolis,IN,Checkpoint A,3
7/14/2024,00:00,JAX,Jacksonville International,Jacksonville,FL,Main Checkpoint,0
