Date,Hour_of_Day,Airport_Code,Airport_Name,City,State,Checkpoint,Total_Pax_KCM_PAX
6/2/2024,00:00,ANC,Ted Stevens Anchorage International,Anchorage,AK,South Checkpoint,170
6/2/2024,00:00,ATL,Hartsfield - Jackson Atlanta International,Atlanta,GA,Main Checkpoint,50
6/2/2024,00:00,BOS,General Edward Lawrence Logan International,East Boston,MA,E3,101
6/2/2024,00:00,BQN,Rafael Hernandez,Aguadilla,PR,Rafael Hernandez Air,219
6/2/2024,00:00,BTV,Burlington International,South Burlington,VT,Main Checkpoint,0
6/2/2024,00:00,DEN,Denver International,Denver,CO,South,55
6/2/2024,00:00,DEN,Denver International,Denver,CO,Blue-2,15
6/2/2024,00:00,DEN,Denver International,Denver,CO,Red 3,15
6/2/2024,00:00,ELP,El Paso International,El Paso,TX,Consolidated Checkpoint,0
6/2/2024,00:00,ELP,El Paso International,El Paso,TX,CKPT-A1,18
6/2/2024,00:00,EWR,Newark Liberty International,Newark,NJ,CKPT-B3,4
6/2/2024,00:00,EWR,Newark Liberty International,Newark,NJ,CKPT-C1,25
6/2/2024,00:00,FAI,Fairbanks International,Fairbanks,AK,ASAA-FAI,71
6/2/2024,00:00,FAT,Fresno Yosemite International,Fresno,CA,FAT 01,150
6/2/2024,00:00,GSN,Francisco C Ada/Saipan International,Saipan,MP,GSN01,72
6/2/2024,00:00,GUM,Guam International,Tamuning,GU,GUM01,187
6/2/2024,00:00,HNL,Daniel K Inouye International,Honolulu,HI,HNL03,2
6/2/2024,00:00,IAD,Washington Dulles International,Dulles,VA,Passenger Screening Area: PreCheck,184
6/2/2024,00:00,IND,Indianapolis International,Indianapolis,IN,Checkpoint A,1
6/2/2024,00:00,JAX,Jacksonville International,Jacksonville,FL,Main Checkpoint,0
6/2/2024,00:00,JAX,Jacksonville International,Jacksonville,FL,Terminal 1,440
6/2/2024,00:00,JAX,Jacksonville International,Jacksonville,FL,Terminal 4 Main,423
6/2/2024,00:00,JFK,John F Kennedy International,Jamaica,NY,Terminal 5,21
6/2/2024,00:00,JFK,John F Kennedy International,Jamaica,NY,Terminal 7,152
6/2/2024,00:00,JFK,John F Kennedy International,Jamaica,NY,Terminal 8,198
6/2/2024,00:00,JFK,John F Kennedy International,Jamaica,NY,Term 1 - AB,55
6/2/2024,00:00,LAS,Harry Reid International,Las Vegas,NV,Term 1 - D,23
6/2/2024,00:00,LAS,Harry Reid International,Las Vegas,NV,Terminal 3 - E Upper,252
6/2/2024,00:00,LAS,Harry Reid International,Las Vegas,NV,Suites,3
6/2/2024,00:00,LAS,Harry Reid International,Las Vegas,NV,TBIT Main Checkpoint,75
6/2/2024,00:00,LAS,Harry Reid International,Las Vegas,NV,Terminal 3 - Passenger,1
6/2/2024,00:00,LAS,Harry Reid International,Las Vegas,NV,Terminal 4 - Passenger,4
6/2/2024,00:00,LAS,Harry Reid International,Las Vegas,NV,Terminal 5 - Passenger,13
6/2/2024,00:00,LAS,Harry Reid International,Las Vegas,NV,Terminal 7 - Passenger,22
6/2/2024,00:00,LAS,Harry Reid International,Las Vegas,NV,TB-CHK,30
6/2/2024,00:00,LAS,Harry Reid International,Las Vegas,NV,TC CHK West,14
6/2/2024,00:00,LGB,Long Beach (Daugherty Field),Long Beach,CA,Checkpoint,0
6/2/2024,00:00,LGB,Long Beach (Daugherty Field),Long Beach,CA,EAST Checkpoint,0
6/2/2024,00:00,LGB,Long Beach (Daugherty Field),Long Beach,CA,WEST Checkpoint,0
6/2/2024,00:00,MDW,Chicago Midway International,Chicago,IL,Main Checkpoint,0
6/2/2024,00:00,MDW,Chicago Midway International,Chicago,IL,Int'l Arrivals,0
6/2/2024,00:00,MDW,Chicago Midway International,Chicago,IL,MEM-C,0
6/2/2024,00:00,MDW,Chicago Midway International,Chicago,IL,North 2,147
6/2/2024,00:00,MDW,Chicago Midway International,Chicago,IL,South-J1,19
6/2/2024,00:00,MSP,Minneapolis-St Paul International/Wold-Chamberlain,St. Paul,MN,South CP,16
6/2/2024,00:00,ONT,Ontario International,Ontario,CA,T2,122
6/2/2024,00:00,ONT,Ontario International,Ontario,CA,10,401
6/2/2024,00:00,ONT,Ontario International,Ontario,CA,4B,20
6/2/2024,00:00,ONT,Ontario International,Ontario,CA,5,7
6/2/2024,00:00,ONT,Ontario International,Ontario,CA,6A,50
6/2/2024,00:00,ONT,Ontario International,Ontario,CA,PDX A/B/C,27
6/2/2024,00:00,ONT,Ontario International,Ontario,CA,PDX D/E,11
6/2/2024,00:00,ONT,Ontario International,Ontario,CA,T-3 North,31
6/2/2024,00:00,ONT,Ontario International,Ontario,CA,T-4 A,21
6/2/2024,00:00,PIT,Pittsburgh International,Pittsburgh,PA,Main Checkpoint,5
6/2/2024,00:00,PSE,Mercedita,Ponce,PR,Mercedita Airport,63
6/2/2024,00:00,SEA,Seattle-Tacoma International,Seattle,WA,SCP 2,156
6/2/2024,00:00,SEA,Seattle-Tacoma International,Seattle,WA,Security Checkpoint A,31
6/2/2024,00:00,SEA,Seattle-Tacoma International,Seattle,WA,Security Checkpoint D,34
6/2/2024,00:00,SEA,Seattle-Tacoma International,Seattle,WA,Security Checkpoint F-1,42
6/2/2024,00:00,SEA,Seattle-Tacoma International,Seattle,WA,Security Checkpoint G,21
6/2/2024,00:00,SGF,Springfield-Branson National,Springfield,MO,Main Checkpoint,0
6/2/2024,00:00,SJC,Norman Y Mineta San Jose International,San Jose,CA,Terminal A,5
6/2/2024,00:00,SJU,Luis Munoz Marin International,San Juan,PR,Checkpoint BC,305
6/2/2024,00:00,SLC,Salt Lake City International,Salt Lake City,UT,Main,9
6/2/2024,00:00,SMF,Sacramento International,Sacramento,CA,Central B,65
6/2/2024,00:00,ANC,Ted Stevens Anchorage International,Anchorage,AK,South Checkpoint,99
6/2/2024,00:00,ATL,Hartsfield - Jackson Atlanta International,Atlanta,GA,Main Checkpoint,36
6/2/2024,00:00,BQN,Rafael Hernandez,Aguadilla,PR,Rafael Hernandez Air,84
6/2/2024,00:00,BTV,Burlington International,South Burlington,VT,Main Checkpoint,0
6/2/2024,00:00,DEN,Denver International,Denver,CO,South,0
6/2/2024,00:00,DEN,Denver International,Denver,CO,Blue-2,22
6/2/2024,00:00,DEN,Denver International,Denver,CO,Red 3,7
6/2/2024,00:00,ELP,El Paso International,El Paso,TX,Consolidated Checkpoint,0
6/2/2024,00:00,ELP,El Paso International,El Paso,TX,CKPT-A1,11
6/2/2024,00:00,EWR,Newark Liberty International,Newark,NJ,CKPT-B3,2
6/2/2024,00:00,EWR,Newark Liberty International,Newark,NJ,CKPT-C1,16
