Date,Hour_of_Day,Airport_Code,Airport_Name,City,State,Checkpoint,Total_Pax_KCM_PAX
3/24/2024,00:00,ABQ,Albuquerque International Sunport,Albuquerque,NM,Checkpoint for A/B Gates,20
3/24/2024,00:00,ANC,Ted Stevens Anchorage International,Anchorage,AK,South Checkpoint,166
3/24/2024,00:00,ATL,Hartsfield - Jackson Atlanta International,Atlanta,GA,Main Checkpoint,60
3/24/2024,00:00,BQN,Rafael Hernandez,Aguadilla,PR,Rafael Hernandez Air,194
3/24/2024,00:00,BTV,Burlington International,South Burlington,VT,Main Checkpoint,0
3/24/2024,00:00,CVG,Cincinnati/Northern Kentucky International,Hebron,KY,FIS,152
3/24/2024,00:00,DEN,Denver International,Denver,CO,South,72
3/24/2024,00:00,DEN,Denver International,Denver,CO,Blue-2,16
3/24/2024,00:00,DEN,Denver International,Denver,CO,Red 3,19
3/24/2024,00:00,ELP,El Paso International,El Paso,TX,Consolidated Checkpoint,0
3/24/2024,00:00,ELP,El Paso International,El Paso,TX,CKPT-A1,10
3/24/2024,00:00,EWR,Newark Liberty International,Newark,NJ,CKPT-B3,112
3/24/2024,00:00,EWR,Newark Liberty International,Newark,NJ,CKPT-C1,8
3/24/2024,00:00,FAI,Fairbanks International,Fairbanks,AK,ASAA-FAI,164
3/24/2024,00:00,FAT,Fresno Yosemite International,Fresno,CA,FAT 01,145
3/24/2024,00:00,FLL,Fort Lauderdale/Hollywood International,Fort Lauderdale,FL,T3F Checkpoint,50
3/24/2024,00:00,GSN,Francisco C Ada/Saipan International,Saipan,MP,GSN01,144
3/24/2024,00:00,GUM,Guam International,Tamuning,GU,GUM01,307
3/24/2024,00:00,IAD,Washington Dulles International,Dulles,VA,Passenger Screening Area: PreCheck,427
3/24/2024,00:00,IND,Indianapolis International,Indianapolis,IN,Checkpoint A,22
3/24/2024,00:00,JAX,Jacksonville International,Jacksonville,FL,Main Checkpoint,0
3/24/2024,00:00,JAX,Jacksonville International,Jacksonville,FL,Terminal 1,294
3/24/2024,00:00,JAX,Jacksonville International,Jacksonville,FL,Terminal 4 Main,472
3/24/2024,00:00,JFK,John F Kennedy International,Jamaica,NY,Terminal 5,88
3/24/2024,00:00,JFK,John F Kennedy International,Jamaica,NY,Terminal 7,92
3/24/2024,00:00,JFK,John F Kennedy International,Jamaica,NY,Terminal 8,355
3/24/2024,00:00,JFK,John F Kennedy International,Jamaica,NY,Term 1 - AB,51
3/24/2024,00:00,LAS,Harry Reid International,Las Vegas,NV,Term 1 - D,58
3/24/2024,00:00,LAS,Harry Reid International,Las Vegas,NV,Terminal 3 - E Upper,277
3/24/2024,00:00,LAS,Harry Reid International,Las Vegas,NV,TBIT Main Checkpoint,117
3/24/2024,00:00,LAS,Harry Reid International,Las Vegas,NV,TBIT MSC - Passenger,25
3/24/2024,00:00,LAS,Harry Reid International,Las Vegas,NV,Terminal 3 - Passenger,27
3/24/2024,00:00,LAS,Harry Reid International,Las Vegas,NV,Terminal 4 - Passenger,61
3/24/2024,00:00,LAS,Harry Reid International,Las Vegas,NV,Terminal 5 - Passenger,56
3/24/2024,00:00,LAS,Harry Reid International,Las Vegas,NV,Terminal 7 - Passenger,19
3/24/2024,00:00,LAS,Harry Reid International,Las Vegas,NV,TB-CHK,12
3/24/2024,00:00,LAS,Harry Reid International,Las Vegas,NV,TC CHK West,4
3/24/2024,00:00,LGB,Long Beach (Daugherty Field),Long Beach,CA,Checkpoint,0
3/24/2024,00:00,LGB,Long Beach (Daugherty Field),Long Beach,CA,EAST Checkpoint,0
3/24/2024,00:00,LGB,Long Beach (Daugherty Field),Long Beach,CA,WEST Checkpoint,0
3/24/2024,00:00,MDW,Chicago Midway International,Chicago,IL,Main Checkpoint,1
3/24/2024,00:00,MDW,Chicago Midway International,Chicago,IL,Int'l Arrivals,0
3/24/2024,00:00,MDW,Chicago Midway International,Chicago,IL,MEM-C,0
3/24/2024,00:00,MDW,Chicago Midway International,Chicago,IL,North 2,429
3/24/2024,00:00,MDW,Chicago Midway International,Chicago,IL,South-J1,72
3/24/2024,00:00,MSP,Minneapolis-St Paul International/Wold-Chamberlain,St. Paul,MN,South CP,11
3/24/2024,00:00,ONT,Ontario International,Ontario,CA,T4,42
3/24/2024,00:00,ONT,Ontario International,Ontario,CA,10,398
3/24/2024,00:00,ORD,Chicago O'Hare International,Chicago,IL,4B,6
3/24/2024,00:00,ORD,Chicago O'Hare International,Chicago,IL,6A,31
3/24/2024,00:00,ORD,Chicago O'Hare International,Chicago,IL,PDX A/B/C,7
3/24/2024,00:00,ORD,Chicago O'Hare International,Chicago,IL,PDX D/E,12
3/24/2024,00:00,ORD,Chicago O'Hare International,Chicago,IL,T-3 North,44
3/24/2024,00:00,ORD,Chicago O'Hare International,Chicago,IL,T-4 A,20
3/24/2024,00:00,PIT,Pittsburgh International,Pittsburgh,PA,Main Checkpoint,50
3/24/2024,00:00,RNO,Reno/Tahoe International,Reno,NV,RNO Checkpoint,32
3/24/2024,00:00,SEA,Seattle-Tacoma International,Seattle,WA,SCP 3,47
3/24/2024,00:00,SEA,Seattle-Tacoma International,Seattle,WA,Security Checkpoint A,80
3/24/2024,00:00,SFO,San Francisco International,San Francisco,CA,Security Checkpoint D,13
3/24/2024,00:00,SFO,San Francisco International,San Francisco,CA,Security Checkpoint G,3
3/24/2024,00:00,SGF,Springfield-Branson National,Springfield,MO,Main Checkpoint,0
3/24/2024,00:00,SJC,Norman Y Mineta San Jose International,San Jose,CA,Terminal A,0
3/24/2024,00:00,SJU,Luis Munoz Marin International,San Juan,PR,Checkpoint BC,555
3/24/2024,00:00,SLC,Salt Lake City International,Salt Lake City,UT,Main,13
3/24/2024,00:00,SMF,Sacramento International,Sacramento,CA,Central B,18
3/24/2024,00:00,ABQ,Albuquerque International Sunport,Albuquerque,NM,Checkpoint for A/B Gates,29
3/24/2024,00:00,ANC,Ted Stevens Anchorage International,Anchorage,AK,South Checkpoint,37
3/24/2024,00:00,ATL,Hartsfield - Jackson Atlanta International,Atlanta,GA,Main Checkpoint,81
3/24/2024,00:00,BQN,Rafael Hernandez,Aguadilla,PR,Rafael Hernandez Air,143
3/24/2024,00:00,BTV,Burlington International,South Burlington,VT,Main Checkpoint,0
3/24/2024,00:00,DEN,Denver International,Denver,CO,South,29
3/24/2024,00:00,DEN,Denver International,Denver,CO,Blue-2,12
3/24/2024,00:00,DEN,Denver International,Denver,CO,Red 3,12
3/24/2024,00:00,ELP,El Paso International,El Paso,TX,Consolidated Checkpoint,0
3/24/2024,00:00,ELP,El Paso International,El Paso,TX,CKPT-A1,5
3/24/2024,00:00,EWR,Newark Liberty International,Newark,NJ,CKPT-B3,13
3/24/2024,00:00,EWR,Newark Liberty International,Newark,NJ,CKPT-C1,10
3/24/2024,00:00,FAT,Fresno Yosemite International,Fresno,CA,FAT 01,127
3/24/2024,00:00,FLL,Fort Lauderdale/Hollywood International,Fort Lauderdale,FL,T3F Checkpoint,7
3/24/2024,00:00,GSN,Francisco C Ada/Saipan International,Saipan,MP,GSN01,207
3/24/2024,00:00,GUM,Guam International,Tamuning,GU,GUM01,256
3/24/2024,00:00,IAD,Washington Dulles International,Dulles,VA,Passenger Screening Area: PreCheck,29
3/24/2024,00:00,IND,Indianapolis International,Indianapolis,IN,Checkpoint A,6
3/24/2024,00:00,JAX,Jacksonville International,Jacksonville,FL,Main Checkpoint,0
3/24/2024,00:00,JAX,Jacksonville International,Jacksonville,FL,Terminal 1,4
3/24/2024,00:00,JAX,Jacksonville International,Jacksonville,FL,Terminal 4 Main,226
3/24/2024,01:00,JFK,John F Kennedy International,Jamaica,NY,Terminal 5,20
3/24/2024,01:00,JFK,John F Kennedy International,Jamaica,NY,Terminal 7,0
3/24/2024,01:00,JFK,John F Kennedy International,Jamaica,NY,Terminal 8,0
3/24/2024,01:00,JFK,John F Kennedy International,Jamaica,NY,Term 1 - D,43
