Date,Hour_of_Day,Airport_Code,Airport_Name,City,State,Checkpoint,Total_Pax_KCM_PAX
11/24/2024,00:00,ANC,Ted Stevens Anchorage International,Anchorage,AK,South Checkpoint,343
11/24/2024,00:00,ANC,Ted Stevens Anchorage International,Anchorage,AK,F Arrival Checkpoint,6
11/24/2024,00:00,ANC,Ted Stevens Anchorage International,Anchorage,AK,Main Checkpoint,48
11/24/2024,00:00,BQN,Rafael Hernandez,Aguadilla,PR,Rafael Hernandez Air,84
11/24/2024,00:00,BTV,Burlington International,South Burlington,VT,Main Checkpoint,0
11/24/2024,00:00,COS,City Of Colorado Springs Municipal,Colorado Springs,CO,COS Checkpoint,0
11/24/2024,00:00,DEN,Denver International,Denver,CO,South,73
11/24/2024,00:00,DEN,Denver International,Denver,CO,Blue-2,11
11/24/2024,00:00,DEN,Denver International,Denver,CO,Red 3,14
11/24/2024,00:00,ELP,El Paso International,El Paso,TX,Consolidated Checkpoint,0
11/24/2024,00:00,ELP,El Paso International,El Paso,TX,CKPT-A1,25
11/24/2024,00:00,EWR,Newark Liberty International,Newark,NJ,CKPT-B3,21
11/24/2024,00:00,EWR,Newark Liberty International,Newark,NJ,CKPT-C1,21
11/24/2024,00:00,FAI,Fairbanks International,Fairbanks,AK,ASAA-FAI,157
11/24/2024,00:00,FAT,Fresno Yosemite International,Fresno,CA,FAT 01,174
11/24/2024,00:00,GSN,Francisco C Ada/Saipan International,Saipan,MP,GSN01,126
11/24/2024,00:00,GUM,Guam International,Tamuning,GU,GUM01,187
11/24/2024,00:00,IAD,Washington Dulles International,Dulles,VA,East Mezzanine,246
11/24/2024,00:00,IND,Indianapolis International,Indianapolis,IN,Checkpoint A,8
11/24/2024,00:00,JAX,Jacksonville International,Jacksonville,FL,Main Checkpoint,0
11/24/2024,00:00,JAX,Jacksonville International,Jacksonville,FL,Terminal 1,200
11/24/2024,00:00,JAX,Jacksonville International,Jacksonville,FL,Terminal 4 Main,429
11/24/2024,00:00,JFK,John F Kennedy International,Jamaica,NY,Terminal 5,37
11/24/2024,00:00,JFK,John F Kennedy International,Jamaica,NY,Terminal 7,7
11/24/2024,00:00,JFK,John F Kennedy International,Jamaica,NY,Terminal 8,74
11/24/2024,00:00,JFK,John F Kennedy International,Jamaica,NY,Term 1 - AB,18
11/24/2024,00:00,LAS,Harry Reid International,Las Vegas,NV,Term 1 - D,80
11/24/2024,00:00,LAS,Harry Reid International,Las Vegas,NV,Terminal 3 - E Upper,152
11/24/2024,00:00,LAS,Harry Reid International,Las Vegas,NV,TBIT Main Checkpoint,67
11/24/2024,00:00,LAS,Harry Reid International,Las Vegas,NV,Terminal 3 - Passenger,6
11/24/2024,00:00,LAS,Harry Reid International,Las Vegas,NV,Terminal 5 - Passenger,146
11/24/2024,00:00,LAS,Harry Reid International,Las Vegas,NV,Terminal 7 - Passenger,22
11/24/2024,00:00,LAS,Harry Reid International,Las Vegas,NV,TB-CHK,17
11/24/2024,00:00,LAS,Harry Reid International,Las Vegas,NV,TC CHK West,0
11/24/2024,00:00,LGB,Long Beach (Daugherty Field),Long Beach,CA,Checkpoint,0
11/24/2024,00:00,LGB,Long Beach (Daugherty Field),Long Beach,CA,EAST Checkpoint,0
11/24/2024,00:00,LGB,Long Beach (Daugherty Field),Long Beach,CA,WEST Checkpoint,0
11/24/2024,00:00,MDW,Chicago Midway International,Chicago,IL,Main Checkpoint,14
11/24/2024,00:00,MDW,Chicago Midway International,Chicago,IL,Int'l Arrivals,0
11/24/2024,00:00,MDW,Chicago Midway International,Chicago,IL,MEM-C,0
11/24/2024,00:00,MDW,Chicago Midway International,Chicago,IL,North 2,10
11/24/2024,00:00,MDW,Chicago Midway International,Chicago,IL,South-J1,38
11/24/2024,00:00,MKL,Mc Kellar-Sipes Regional,Jackson,TN,MKL-A,0
11/24/2024,00:00,MSP,Minneapolis-St Paul International/Wold-Chamberlain,St. Paul,MN,South CP,15
11/24/2024,00:00,MSP,Minneapolis-St Paul International/Wold-Chamberlain,St. Paul,MN,10,167
11/24/2024,00:00,ORD,Chicago O'Hare International,Chicago,IL,4B,11
11/24/2024,00:00,ORD,Chicago O'Hare International,Chicago,IL,6A,18
11/24/2024,00:00,PDX,Portland International,Portland,OR,DE Checkpoint,8
11/24/2024,00:00,PDX,Portland International,Portland,OR,T-3 North,31
11/24/2024,00:00,PDX,Portland International,Portland,OR,T-4 A,94
11/24/2024,00:00,PIT,Pittsburgh International,Pittsburgh,PA,Main Checkpoint,17
11/24/2024,00:00,SEA,Seattle-Tacoma International,Seattle,WA,SCP 3,52
11/24/2024,00:00,SFO,San Francisco International,San Francisco,CA,Security Checkpoint A,9
11/24/2024,00:00,SFO,San Francisco International,San Francisco,CA,Security Checkpoint B,12
11/24/2024,00:00,SFO,San Francisco International,San Francisco,CA,Security Checkpoint F-1,16
11/24/2024,00:00,SFO,San Francisco International,San Francisco,CA,Security Checkpoint G,14
11/24/2024,00:00,SGF,Springfield-Branson National,Springfield,MO,Main Checkpoint,0
11/24/2024,00:00,SJC,Norman Y Mineta San Jose International,San Jose,CA,Terminal A,2
11/24/2024,00:00,SJU,Luis Munoz Marin International,San Juan,PR,Checkpoint BC,480
11/24/2024,00:00,SLC,Salt Lake City International,Salt Lake City,UT,Main,7
11/24/2024,00:00,SMF,Sacramento International,Sacramento,CA,Central B,7
11/24/2024,00:00,ANC,Ted Stevens Anchorage International,Anchorage,AK,South Checkpoint,131
11/24/2024,00:00,ANC,Ted Stevens Anchorage International,Anchorage,AK,F Arrival Checkpoint,5
11/24/2024,00:00,ANC,Ted Stevens Anchorage International,Anchorage,AK,Main Checkpoint,46
11/24/2024,00:00,BQN,Rafael Hernandez,Aguadilla,PR,Rafael Hernandez Air,18
11/24/2024,00:00,BTV,Burlington International,South Burlington,VT,Main Checkpoint,0
11/24/2024,00:00,BTV,Burlington International,South Burlington,VT,Blue-2,15
11/24/2024,00:00,BTV,Burlington International,South Burlington,VT,Red 3,6
11/24/2024,00:00,ELP,El Paso International,El Paso,TX,Consolidated Checkpoint,0
11/24/2024,00:00,ELP,El Paso International,El Paso,TX,CKPT-A1,13
11/24/2024,00:00,EWR,Newark Liberty International,Newark,NJ,CKPT-B3,0
11/24/2024,00:00,EWR,Newark Liberty International,Newark,NJ,CKPT-C1,16
11/24/2024,00:00,FAI,Fairbanks International,Fairbanks,AK,ASAA-FAI,55
11/24/2024,00:00,FAT,Fresno Yosemite International,Fresno,CA,FAT 01,163
11/24/2024,00:00,GSN,Francisco C Ada/Saipan International,Saipan,MP,GSN01,48
11/24/2024,00:00,GUM,Guam International,Tamuning,GU,GUM01,30
11/24/2024,00:00,GUM,Guam International,Tamuning,GU,East Mezzanine,83
11/24/2024,00:00,GUM,Guam International,Tamuning,GU,Passenger Screening Area: PreCheck,35
11/24/2024,00:00,IND,Indianapolis International,Indianapolis,IN,Checkpoint A,7
11/24/2024,00:00,JAX,Jacksonville International,Jacksonville,FL,Main Checkpoint,0
11/24/2024,00:00,JAX,Jacksonville International,Jacksonville,FL,Terminal 1,47
11/24/2024,00:00,JAX,Jacksonville International,Jacksonville,FL,Terminal 4 Main,225
11/24/2024,00:00,JFK,John F Kennedy International,Jamaica,NY,Terminal 5,39
11/24/2024,01:00,JFK,John F Kennedy International,Jamaica,NY,Terminal 7,1
11/24/2024,01:00,JFK,John F Kennedy International,Jamaica,NY,Terminal 8,3
11/24/2024,01:00,JFK,John F Kennedy International,Jamaica,NY,Term 1 - D,63
11/24/2024,01:00,JFK,John F Kennedy International,Jamaica,NY,Terminal 3 - E Upper,68
11/24/2024,01:00,LAX,Los Angeles International,Los Angeles,CA,TBIT Main Checkpoint,2
11/24/2024,01:00,LAX,Los Angeles International,Los Angeles,CA,TB-CHK,5
11/24/2024,01:00,LAX,Los Angeles International,Los Angeles,CA,TC CHK West,1
11/24/2024,01:00,LGB,Long Beach (Daugherty Field),Long Beach,CA,Checkpoint,0
11/24/2024,01:00,LGB,Long Beach (Daugherty Field),Long Beach,CA,EAST Checkpoint,0
11/24/2024,01:00,LGB,Long Beach (Daugherty Field),Long Beach,CA,WEST Checkpoint,0
11/24/2024,01:00,MDW,Chicago Midway International,Chicago,IL,Main Checkpoint,10
11/24/2024,01:00,MDW,Chicago Midway International,Chicago,IL,North 2,13
11/24/2024,01:00,MDW,Chicago Midway International,Chicago,IL,South-J1,28
11/24/2024,01:00,MSP,Minneapolis-St Paul International/Wold-Chamberlain,St. Paul,MN,South CP,14
11/24/2024,01:00,MSP,Minneapolis-St Paul International/Wold-Chamberlain,St. Paul,MN,10,99
11/24/2024,01:00,ORD,Chicago O'Hare International,Chicago,IL,4B,15
11/24/2024,01:00,ORD,Chicago O'Hare International,Chicago,IL,6A,13
11/24/2024,01:00,PDX,Portland International,Portland,OR,DE Checkpoint,2
11/24/2024,01:00,PDX,Portland International,Portland,OR,T-3 North,5
11/24/2024,01:00,PDX,Portland International,Portland,OR,T-4 A,9
11/24/2024,01:00,PIT,Pittsburgh International,Pittsburgh,PA,Main Checkpoint,9
11/24/2024,01:00,SEA,Seattle-Tacoma International,Seattle,WA,SCP 3,25
11/24/2024,01:00,SFO,San Francisco International,San Francisco,CA,Security Checkpoint A,1
11/24/2024,01:00,SGF,Springfield-Branson National,Springfield,MO,Main Checkpoint,0
11/24/2024,01:00,SJC,Norman Y Mineta San Jose International,San Jose,CA,Terminal A,0
11/24/2024,01:00,SJU,Luis Munoz Marin International,San Juan,PR,Checkpoint BC,422
11/24/2024,01:00,ANC,Ted Stevens Anchorage International,Anchorage,AK,South Checkpoint,10
11/24/2024,01:00,ANC,Ted Stevens Anchorage International,Anchorage,AK,F Arrival Checkpoint,5
11/24/2024,01:00,ANC,Ted Stevens Anchorage International,Anchorage,AK,Main Checkpoint,69
11/24/2024,01:00,BTV,Burlington International,South Burlington,VT,Main Checkpoint,0
11/24/2024,01:00,BTV,Burlington International,South Burlington,VT,Blue-2,22
11/24/2024,01:00,BTV,Burlington International,South Burlington,VT,Red 3,19
11/24/2024,01:00,ELP,El Paso International,El Paso,TX,Consolidated Checkpoint,0
11/24/2024,01:00,ELP,El Paso International,El Paso,TX,CKPT-A1,14
11/24/2024,01:00,EWR,Newark Liberty International,Newark,NJ,CKPT-B3,0
11/24/2024,01:00,EWR,Newark Liberty International,Newark,NJ,CKPT-C1,15
11/24/2024,01:00,FAI,Fairbanks International,Fairbanks,AK,ASAA-FAI,2
11/24/2024,01:00,FAT,Fresno Yosemite International,Fresno,CA,FAT 01,3
11/24/2024,01:00,GSN,Francisco C Ada/Saipan International,Saipan,MP,GSN01,2
11/24/2024,01:00,GUM,Guam International,Tamuning,GU,GUM01,24
11/24/2024,01:00,IAD,Washington Dulles International,Dulles,VA,Passenger Screening Area: PreCheck,106
11/24/2024,01:00,IND,Indianapolis International,Indianapolis,IN,Checkpoint A,11
11/24/2024,01:00,JAX,Jacksonville International,Jacksonville,FL,Main Checkpoint,0
11/24/2024,01:00,JAX,Jacksonville International,Jacksonville,FL,Terminal 1,4
11/24/2024,01:00,JAX,Jacksonville International,Jacksonville,FL,Terminal 4 Main,167
11/24/2024,01:00,JFK,John F Kennedy International,Jamaica,NY,Terminal 5,212
11/24/2024,01:00,JFK,John F Kennedy International,Jamaica,NY,Terminal 7,0
11/24/2024,01:00,JFK,John F Kennedy International,Jamaica,NY,Terminal 8,10
11/24/2024,01:00,JFK,John F Kennedy International,Jamaica,NY,Term 1 - D,104
11/24/2024,01:00,JFK,John F Kennedy International,Jamaica,NY,Terminal 3 - E Upper,145
11/24/2024,01:00,JFK,John F Kennedy International,Jamaica,NY,TB-CHK,53
11/24/2024,01:00,JFK,John F Kennedy International,Jamaica,NY,TC CHK West,29
11/24/2024,01:00,LGB,Long Beach (Daugherty Field),Long Beach,CA,Checkpoint,0
11/24/2024,01:00,LGB,Long Beach (Daugherty Field),Long Beach,CA,EAST Checkpoint,0
11/24/2024,01:00,LGB,Long Beach (Daugherty Field),Long Beach,CA,WEST Checkpoint,154
